,Portfolio-Value-diff,Market-based-PnL,Summe Einzel-Tages-PnL,Abweichung (Portfolio vs Market),Abweichung (Portfolio vs Summe)
2021-12-29,393.5395646143006,393.5395646142225,393.5395646142225,7.810285751475021e-11,7.810285751475021e-11
2021-12-30,-1365.4004784024437,-1365.4004784023593,-1365.400478402359,-8.43556335894391e-11,-8.458300726488233e-11
2021-12-31,-715.9132449949393,-715.9132449949446,-715.9132449949449,5.343281372915953e-12,5.5706550483591855e-12
2022-01-03,4336.141386826581,4336.141386826775,4336.141386826776,-1.9372237147763371e-10,-1.9554136088117957e-10
2022-01-04,-451.4586456072866,-451.4586456074784,-451.4586456074787,1.9178969523636624e-10,1.9207391233067028e-10
2022-01-05,-6845.451751351939,-6845.451751351803,-6845.451751351802,-1.355147105641663e-10,-1.3642420526593924e-10
2022-01-06,-901.6396065175068,-901.6396065176162,-901.6396065176161,1.0948042472591624e-10,1.0936673788819462e-10
2022-01-07,-2258.997912503779,-2258.9979125038553,-2258.997912503855,7.639755494892597e-11,7.594280759803951e-11
2022-01-10,-620.4563477218617,-620.4563477216373,-620.4563477216375,-2.2441781766247004e-10,-2.241904439870268e-10
2022-01-11,1732.1596236157347,1732.1596236156925,1732.1596236156927,4.229150363244116e-11,4.206412995699793e-11
2022-01-12,1272.2888444346609,1272.2888444345335,1272.2888444345335,1.2732925824820995e-10,1.2732925824820995e-10
2022-01-13,-5355.166831197683,-5355.166831197559,-5355.166831197557,-1.2369127944111824e-10,-1.255102688446641e-10
2022-01-14,-3962.7964086866705,-3962.7964086867546,-3962.7964086867546,8.412825991399586e-11,8.412825991399586e-11
2022-01-17,0.0,0.0,0.0,0.0,0.0
2022-01-18,-5557.746374143171,-5557.746374143125,-5557.746374143126,-4.638422979041934e-11,-4.547473508864641e-11
2022-01-19,-2616.337329183705,-2616.337329183722,-2616.337329183721,1.6825651982799172e-11,1.5916157281026244e-11
2022-01-20,-2614.6347619321314,-2614.634761932121,-2614.634761932121,-1.0459189070388675e-11,-1.0459189070388675e-11
2022-01-21,-4641.9346099108225,-4641.9346099108625,-4641.934609910862,4.001776687800884e-11,3.9108272176235914e-11
2022-01-24,-78.59989282934112,-78.59989282932337,-78.59989282932338,-1.7749357539287303e-11,-1.77351466845721e-11
2022-01-25,-2179.06857595584,-2179.0685759558505,-2179.06857595585,1.0459189070388675e-11,1.000444171950221e-11
2022-01-26,2175.4544028376695,2175.454402837666,2175.454402837666,3.637978807091713e-12,3.637978807091713e-12
2022-01-27,-3589.2848055610375,-3589.2848055610293,-3589.2848055610293,-8.185452315956354e-12,-8.185452315956354e-12
2022-01-28,5740.665027539857,5740.66502753985,5740.665027539851,7.275957614183426e-12,6.366462912410498e-12
2022-01-31,5864.416807678994,5864.416807678983,5864.416807678983,1.0913936421275139e-11,1.0913936421275139e-11
2022-02-01,4522.55904516665,4522.559045166785,4522.559045166785,-1.3460521586239338e-10,-1.3460521586239338e-10
2022-02-02,3664.7674360853853,3664.767436085309,3664.7674360853093,7.639755494892597e-11,7.594280759803951e-11
2022-02-03,-3522.669173335191,-3522.66917333522,-3522.66917333522,2.9103830456733704e-11,2.9103830456733704e-11
2022-02-04,1133.6635670099058,1133.663567010039,1133.663567010039,-1.3324097380973399e-10,-1.3324097380973399e-10
2022-02-07,-94.15604552696459,-94.15604552700717,-94.15604552700734,4.25757207267452e-11,4.274625098332763e-11
2022-02-08,332.8325884617516,332.8325884617595,332.8325884617596,-7.901235221652314e-12,-8.01492205937393e-12
