,Portfolio-Value-diff,Summe Einzel-Tages-PnL,Abweichung
2021-07-12,597.9714031027106,597.9714031027173,-6.707523425575346e-12
2021-07-13,-31.2170256000245,-31.217025600031164,6.66489086142974e-12
2021-07-14,59.129610288568074,59.12961028855522,1.2853718089900212e-11
2021-07-15,-553.7825683928386,-553.782568392818,-2.05773176276125e-11
2021-07-16,-944.9955400614708,-944.9955400615006,2.97859514830634e-11
2021-07-19,-1285.1726279221475,-1285.1726279221352,-1.2278178473934531e-11
2021-07-20,947.7438534707471,947.7438534707774,-3.0240698833949864e-11
2021-07-21,754.8314354147296,754.8314354147254,4.206412995699793e-12
2021-07-22,222.47102165792603,222.47102165787857,4.746425474877469e-11
2021-07-23,1291.1997780875827,1291.199778087594,-1.1368683772161603e-11
2021-07-26,284.56987986023887,284.5698798602569,-1.801936377887614e-11
2021-07-27,-498.09627497399924,-498.0962749739923,-6.934897101018578e-12
2021-07-28,11.46028870617738,11.460288706184954,-7.574385563202668e-12
2021-07-29,350.08732678269735,350.0873267826851,1.2221335055073723e-11
2021-07-30,-646.7913420727127,-646.7913420727192,6.480149750132114e-12
2021-08-02,-2697.3061430111993,-112.00056738746298,-2585.3055756237363
2021-08-03,698.3850262238411,698.385026223856,-1.48929757415317e-11
2021-08-04,11.420775443693856,11.420775443712529,-1.8673063095775433e-11
2021-08-05,634.7640523336304,634.764052333637,-6.59383658785373e-12
2021-08-06,-75.01587066432694,-75.01587066434664,1.9696244635269977e-11
2021-08-09,15.644185866520274,15.644185866533356,-1.3081091765343444e-11
2021-08-10,-47.52633267996134,-47.52633267998243,2.1088908397359774e-11
2021-08-11,-321.58103776857024,-321.5810377685297,-4.0529357647756115e-11
2021-08-12,321.4330280216236,321.4330280216072,1.6427748050773516e-11
2021-08-13,231.93912907733466,231.93912907731394,2.071942617476452e-11
2021-08-16,345.84024773174315,345.8402477317404,2.7284841053187847e-12
2021-08-17,-585.3118729999987,-585.3118729999769,-2.1827872842550278e-11
2021-08-18,-1043.4098960431584,-1043.4098960431668,8.412825991399586e-12
2021-08-19,566.3090029823361,566.309002982339,-2.9558577807620168e-12
2021-08-20,816.897021794226,816.8970217942244,1.5916157281026244e-12
2021-08-23,1095.0263721361407,1095.0263721361316,9.094947017729282e-12
2021-08-24,-103.93570737843402,-103.93570737844917,1.5148771126405336e-11
2021-08-25,118.93762206833344,118.93762206835419,-2.0747847884194925e-11
2021-08-26,-534.2058550447109,-534.2058550446845,-2.637534635141492e-11
2021-08-27,908.7594143064052,908.7594143063997,5.5706550483591855e-12
2021-08-30,689.4010907587653,689.4010907587356,2.97859514830634e-11
2021-08-31,-381.1552863350371,-381.15528633504323,6.139089236967266e-12
2021-09-01,-3460.32535306146,-129.7108106185183,-3330.614542442942
2021-09-02,-44.078927214752184,-44.07892721473307,-1.9113599591946695e-11
2021-09-03,150.19274135882733,150.1927413588407,-1.3358203432289883e-11
2021-09-06,0.0,0.0,0.0
2021-09-07,77.58784339693375,77.58784339690338,3.036859652638668e-11
2021-09-08,-31.481708518025698,-31.48170851801305,-1.2647660696529783e-11
2021-09-09,-820.5124062749092,-820.5124062749195,1.0345502232667059e-11
2021-09-10,-690.8876749092306,-690.8876749092403,9.777068044058979e-12
2021-09-13,277.9003861240344,277.90038612406914,-3.47313289239537e-11
2021-09-14,-523.1043546682049,-523.1043546682197,1.4779288903810084e-11
2021-09-15,777.8689053239359,777.8689053239123,2.3646862246096134e-11
2021-09-16,-123.73580315761501,-123.735803157599,-1.6015633264032658e-11
2021-09-17,-694.7937919080723,-694.7937919080802,7.844391802791506e-12
2021-09-20,-1831.6479893544456,-1831.6479893544195,-2.6147972675971687e-11
2021-09-21,59.34269402499194,59.34269402496058,3.136335635645082e-11
2021-09-22,820.3503162727284,820.3503162727401,-1.1709744285326451e-11
2021-09-23,1192.8168325611332,1192.8168325611578,-2.4556356947869062e-11
2021-09-24,511.2998318913451,511.29983189130917,3.5925040720030665e-11
2021-09-27,-199.98593978682766,-199.98593978679875,-2.8904878490720876e-11
2021-09-28,-1853.6520430941018,-1853.6520430940764,-2.546585164964199e-11
2021-09-29,492.58582920979825,492.5858292097788,1.944044925039634e-11
2021-09-30,-792.7859429709788,-792.7859429709755,-3.296918293926865e-12
2021-10-01,4349.187561683473,1052.7555493715147,3296.4320123119587
2021-10-04,-1794.35275329469,-1794.352753294671,-1.9099388737231493e-11
2021-10-05,1364.2920209356816,1364.292020935669,1.2732925824820995e-11
2021-10-06,507.9462512451573,507.9462512451622,-4.888534022029489e-12
2021-10-07,988.2757548392983,988.2757548393218,-2.3533175408374518e-11
2021-10-08,79.63485705110361,79.63485705107598,2.7625901566352695e-11
2021-10-11,-776.8092779202561,-776.809277920246,-1.0118128557223827e-11
2021-10-12,-587.5029512917972,-587.5029512917997,2.5011104298755527e-12
2021-10-13,166.98076068944647,166.9807606894254,2.106048668792937e-11
2021-10-14,1521.745747883484,1521.745747883495,-1.0913936421275139e-11
2021-10-15,1074.8878097058623,1074.8878097058946,-3.228706191293895e-11
2021-10-18,598.241871471575,598.2418714715408,3.4219738154206425e-11
2021-10-19,712.7053800919093,712.7053800919483,-3.89945853385143e-11
2021-10-20,39.020807216264075,39.02080721622401,4.006750486951205e-11
2021-10-21,586.3546306007192,586.3546306007447,-2.546585164964199e-11
2021-10-22,79.26504752557958,79.26504752557656,3.0127011996228248e-12
2021-10-25,1268.7145230282622,1268.7145230282347,2.751221472863108e-11
2021-10-26,757.9564910472254,757.9564910472562,-3.0809133022557944e-11
2021-10-27,-712.1467899759009,-712.1467899759016,6.821210263296962e-13
2021-10-28,938.1921804287122,938.1921804286873,2.489741746103391e-11
2021-10-29,1012.4521896576916,1012.4521896577016,-1.000444171950221e-11
